"카테고리","No","제품 ID","제품명","설명","데이터시트 URL"
"Embedded antennas","86","YFGC015WWA","YFGC015WWA","GNSS adhesive & soldering mount ceramic patch passive embedded antenna",""
"Embedded antennas","87","YFGC015WWB","YFGC015WWB","GNSS adhesive & soldering mount ceramic patch passive embedded antenna",""
"Embedded antennas","88","YFGC018WWA","YFGC018WWA","GNSS adhesive & soldering mount ceramic patch passive embedded antenna",""
"Embedded antennas","89","YFGC020WWA","YFGC020WWA","GNSS adhesive & soldering mount ceramic patch passive embedded antenna",""
"Embedded antennas","90","YFGC025WWA","YFGC025WWA","GNSS adhesive & soldering mount ceramic patch passive embedded antenna",""
"Embedded antennas","91","YFGC025WWB","YFGC025WWB","GNSS adhesive & soldering mount ceramic patch passive embedded antenna",""
"Embedded antennas","92","YFGC025WWC","YFGC025WWC","GNSS adhesive & soldering mount ceramic patch passive embedded antenna",""
"Embedded antennas","93","YFGC025WWD","YFGC025WWD","GNSS adhesive & soldering mount ceramic patch passive embedded antenna",""
"Embedded antennas","94","YFGC035WWA","YFGC035WWA","GNSS adhesive & soldering mount ceramic patch passive embedded antenna",""
"Embedded antennas","95","YFGC035WWB","YFGC035WWB","GNSS adhesive & soldering mount ceramic patch passive embedded antenna",""
"Embedded antennas","96","YFGC035WWC","YFGC035WWC","GNSS adhesive & soldering mount ceramic patch passive embedded antenna",""
"Embedded antennas","97","YFGC040WWA","YFGC040WWA","GNSS adhesive & soldering mount ceramic patch passive embedded antenna",""
"Embedded antennas","98","YFGC041WWAM","YFGC041WWAM","GNSS adhesive & soldering mount ceramic patch passive embedded antenna",""
"Embedded antennas","99","YFGC225WWA","YFGC225WWA","GNSS adhesive & soldering mount ceramic patch passive embedded antenna",""
"Embedded antennas","100","YFGC233WWA","YFGC233WWA","GNSS adhesive & soldering mount ceramic patch passive embedded antenna",""
"Embedded antennas","101","YFGC235WWA","YFGC235WWA","GNSS adhesive & soldering mount ceramic patch passive embedded antenna",""
"Embedded antennas","102","YFGC238WWA","YFGC238WWA","GNSS adhesive & soldering mount ceramic patch passive embedded antenna",""
"Embedded antennas","103","YFGC245WWA","YFGC245WWA","GNSS adhesive & soldering mount ceramic patch passive embedded antenna",""
"Embedded antennas","104","YFGC245WWB","YFGC245WWB","GNSS adhesive & soldering mount ceramic patch passive embedded antenna",""
"Embedded antennas","105","YFMA200E3AM","YFMA200E3AM","5G & Wi-Fi 2in1 adhesive mount Combo embedded antenna",""
"Embedded antennas","106","YFMP200WWA","YFMP200WWA","Wi-Fi & GNSS 2in1 SMT mount Combo embedded antenna",""
"Embedded antennas","107","YFNF915F3AM","YFNF915F3AM","LPWA/ISM adhesive mount FPC + cable dipole embedded antenna",""
"Embedded antennas","108","YFNP001WWA","YFNP001WWA","LPWA/ISM SMT mount PCB chip loop embedded antenna",""
"Embedded antennas","109","YFNP001WWB","YFNP001WWB","LPWA/ISM SMT mount PCB chip loop embedded antenna",""
"Embedded antennas","110","YFNP017WWA","YFNP017WWA","LPWA/ISM SMT mount PCB chip monopole embedded antenna",""
"Embedded antennas","111","YFTA009E3AM","YFTA009E3AM","L-Band & GNSS L1 & iridium screw mount ceramic patch + cable active embedded antenna",""
"Embedded antennas","112","YFVP001WWA","YFVP001WWA","UWB SMT mount PCB chip monopole embedded antenna",""
"Embedded antennas","113","YMCP001AA","YMCP001AA","4G screw mount sheet metal + holder PIFA embedded antenna",""
"Embedded antennas","114","YMCP002AA","YMCP002AA","4G SMT mount sheet metal PIFA embedded antenna",""
"Embedded antennas","115","YMCP003AA","YMCP003AA","LPWA/ISM SMT mount sheet metal PIFA embedded antenna",""
"Embedded antennas","116","YP0009","YP0009","O A 5G adhesive mount PCB + cable dipole embedded antenna",""
"Embedded antennas","117","YP0009NA","YP0009NA","5G adhesive mount PCB + cable dipole embedded antenna",""
"Embedded antennas","118","YPCA004AA","YPCA004AA","4G adhesive mount PCB + cable monopole embedded antenna",""
"Embedded antennas","119","YPCA006AA","YPCA006AA","5G adhesive mount PCB + cable dipole embedded antenna",""
"Embedded antennas","120","YPCP001AA","YPCP001AA","4G SMT mount PCB chip IFA embedded antenna",""
"Embedded antennas","121","YPCP003AA","YPCP003AA","4G SMT mount PCB chip IFA embedded antenna",""
"Embedded antennas","122","YPCP003BA","YPCP003BA","4G SMT mount PCB chip IFA embedded antenna",""
"Embedded antennas","123","YPCS001AA","YPCS001AA","5G SMT mount PCB chip monopole embedded antenna",""
"Embedded antennas","124","YPCS002AA","YPCS002AA","LPWA/ISM SMT mount PCB chip monopole embedded antenna",""
"Embedded antennas","125","YPGS001AA","YPGS001AA","GNSS SMT mount PCB passive embedded antenna",""
"Embedded antennas","126","YSIS001AA","YSIS001AA","LPWA/ISM SMT mount spring + holder monopole embedded antenna",""
"Embedded antennas","127","YXU00A0AA","YXU00A0AA","Wi-Fi SMT mount PCB chip loop embedded antenna",""
"External antennas","128","YB0008AA","YB0008AA","4G & GNSS 3in1 adhesive mount Combo external antenna",""
"External antennas","129","YB0014AA","YB0014AA","4G & GNSS 3in1 screw mount Combo external antenna",""
"External antennas","130","YB0027AA","YB0027AA","5G & GNSS 9in1 screw mount Combo external antenna",""
"External antennas","131","YB0031AA","YB0031AA","4G & GNSS 2in1 adhesive mount Combo external antenna",""
"External antennas","132","YCN001AA","YCN001AA","4G terminal mount rubber monopole external antenna",""
"External antennas","133","YE0006AA","YE0006AA","4G magnetic mount whip monopole external antenna",""
"External antennas","134","YE0010AA","YE0010AA","4G adhesive mount low profile dipole external antenna",""
"External antennas","135","YE0013CA","YE0013CA","4G terminal mount rubber monopole external antenna",""
"External antennas","136","YEBA000J1AM","YEBA000J1AM","Wi-Fi adhesive mount low profile dipole external antenna",""
"External antennas","137","YEBA001L1AH","YEBA001L1AH","Wi-Fi adhesive mount whip monopole external antenna",""
"External antennas","138","YEBM001L1AH","YEBM001L1AH","Wi-Fi magnetic mount whip monopole external antenna",""
"External antennas","139","YEBT001W1AM","YEBT001W1AM","Wi-Fi terminal mount rubber monopole external antenna",""
"External antennas","140","YEBT001WFAM","YEBT001WFAM","Wi-Fi terminal mount rubber monopole external antenna",""
"External antennas","141","YEBT001WFBM","YEBT001WFBM","Wi-Fi terminal mount rubber monopole external antenna",""
"External antennas","142","YEBT002W1AM","YEBT002W1AM","Wi-Fi Terminal mount rubber monopole external antenna",""
"External antennas","143","YECA000G1AM","YECA000G1AM","5G adhesive mount low profile dipole external antenna",""
